Title,Location,Link,Distance,Review_Score,Review_description,Number_Of_Reviews,Details,Price
T+ Hotel Butterworth,Butterworth,https://www.booking.com/hotel/my/t-butterworth.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=256&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=142087301_276629675_0_0_0&highlighted_blocks=142087301_276629675_0_0_0&matching_block_id=142087301_276629675_0_0_0&sr_pri_blocks=142087301_276629675_0_0_0__13050&from=searchresults#hotelTmpl,,6.9,Review score ,574 reviews,,MYR 131
Hotel Pintar,Parit Raja,https://www.booking.com/hotel/my/pintar.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=257&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=129972804_381640606_2_0_0&highlighted_blocks=129972804_381640606_2_0_0&matching_block_id=129972804_381640606_2_0_0&sr_pri_blocks=129972804_381640606_2_0_0__13700&from=searchresults#hotelTmpl,,7.8,Good ,513 reviews,,MYR 137
Sky Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/sky-suites-klcc-by-sa.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=258&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=694561301_372845978_4_0_0&highlighted_blocks=694561301_372845978_4_0_0&matching_block_id=694561301_372845978_4_0_0&sr_pri_blocks=694561301_372845978_4_0_0__99000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.2,Very good ,506 reviews,Travel Sustainable Level 1,MYR 990
"Angsana Teluk Bahang, a brand of Banyan Tree Group",Teluk Bahang,https://www.booking.com/hotel/my/angsana-teluk-bahang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=259&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=606310105_237632468_2_1_0&highlighted_blocks=606310105_237632468_2_1_0&matching_block_id=606310105_237632468_2_1_0&sr_pri_blocks=606310105_237632468_2_1_0__76800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.7,Fabulous ,"1,802 reviews",Travel Sustainable Level 2,MYR 768
Tanjong Jara Resort - Small Luxury Hotels of the World,Dungun,https://www.booking.com/hotel/my/tanjong-jara-resort.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=260&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=2578101_210846512_0_1_0&highlighted_blocks=2578101_210846512_0_1_0&matching_block_id=2578101_210846512_0_1_0&sr_pri_blocks=2578101_210846512_0_1_0__76000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.7,Fabulous ,828 reviews,Travel Sustainable Level 2,MYR 760
City Central Hotel,"Brickfields, Kuala Lumpur",https://www.booking.com/hotel/my/city-central.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=261&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=256052001_104186198_2_2_0&highlighted_blocks=256052001_104186198_2_2_0&matching_block_id=256052001_104186198_2_2_0&sr_pri_blocks=256052001_104186198_2_2_0__10556&from=searchresults#hotelTmpl,,7.6,Good ,"2,493 reviews",,MYR 106
Felda Residence Hot Springs,Sungkai,https://www.booking.com/hotel/my/felda-residence-hot-springs.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=262&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=87425502_199979509_0_2_0&highlighted_blocks=87425502_199979509_0_2_0&matching_block_id=87425502_199979509_0_2_0&sr_pri_blocks=87425502_199979509_0_2_0__18000&from=searchresults#hotelTmpl,,7.1,Good ,36 reviews,,MYR 180
Citadines Prai Penang,Bukit Mertajam,https://www.booking.com/hotel/my/sky-residence-prai.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=263&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=771898601_335074082_0_2_0&highlighted_blocks=771898601_335074082_0_2_0&matching_block_id=771898601_335074082_0_2_0&sr_pri_blocks=771898601_335074082_0_2_0__35100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.5,Very good ,791 reviews,Travel Sustainable Level 3,MYR 351
Emerald Puteri Hotel,Sungai Petani,https://www.booking.com/hotel/my/emerald-puteri.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=264&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=40026006_110111467_2_0_0&highlighted_blocks=40026006_110111467_2_0_0&matching_block_id=40026006_110111467_2_0_0&sr_pri_blocks=40026006_110111467_2_0_0__16280&from=searchresults#hotelTmpl,,7.7,Good ,970 reviews,,MYR 163
Hotel Sri Bernam,Sabak Bernam,https://www.booking.com/hotel/my/sri-bernam.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=265&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=352122201_266180264_2_0_0&highlighted_blocks=352122201_266180264_2_0_0&matching_block_id=352122201_266180264_2_0_0&sr_pri_blocks=352122201_266180264_2_0_0__7112&from=searchresults#hotelTmpl,,7.3,Good ,"1,001 reviews",,MYR 71
"""Your Retreat Our Passion"" by Hostahome Suites at Meridian",Nusajaya,https://www.booking.com/hotel/my/hostahome-suites-at-meridian-medini-iskandar-puteri.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=266&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=922168604_363920937_4_0_0&highlighted_blocks=922168604_363920937_4_0_0&matching_block_id=922168604_363920937_4_0_0&sr_pri_blocks=922168604_363920937_4_0_0__80741&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.3,Very good ,244 reviews,Travel Sustainable Level 2,MYR 807
Axon Residences Bukit Bintang,"Bukit Bintang, Kuala Lumpur",https://www.booking.com/hotel/my/axon-residences-bukit-bintang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=267&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=1058377303_378646976_2_0_0&highlighted_blocks=1058377303_378646976_2_0_0&matching_block_id=1058377303_378646976_2_0_0&sr_pri_blocks=1058377303_378646976_2_0_0__28000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.1,Very good ,14 reviews,Travel Sustainable Level 1,MYR 280
PLAY at Arabella Tudor House,Tanah Rata,https://www.booking.com/hotel/my/play-at-arabella-tudor-house.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=268&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=986539701_371041350_0_0_0&highlighted_blocks=986539701_371041350_0_0_0&matching_block_id=986539701_371041350_0_0_0&sr_pri_blocks=986539701_371041350_0_0_0__37294&from=searchresults#hotelTmpl,,7.7,Good ,77 reviews,,MYR 373
MLH Premier Suites @ Saville Cheras,Cheras,https://www.booking.com/hotel/my/mlh-premier-suites-saville-cheras.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=269&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=746615308_332519627_3_0_0&highlighted_blocks=746615308_332519627_3_0_0&matching_block_id=746615308_332519627_3_0_0&sr_pri_blocks=746615308_332519627_3_0_0__15500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.1,Very good ,269 reviews,Travel Sustainable Level 3,MYR 155
Mercure Penang Beach,George Town,https://www.booking.com/hotel/my/mercure-penang-beach.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=270&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=58027808_94495178_2_2_0&highlighted_blocks=58027808_94495178_2_2_0&matching_block_id=58027808_94495178_2_2_0&sr_pri_blocks=58027808_94495178_2_2_0__41440&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.8,Good ,"2,538 reviews",Travel Sustainable Level 1,MYR 414
Impiana KLCC Hotel,"Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/impiana-klcc.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=271&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=2568322_278186930_2_2_0&highlighted_blocks=2568322_278186930_2_2_0&matching_block_id=2568322_278186930_2_2_0&sr_pri_blocks=2568322_278186930_2_2_0__41540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.6,Good ,"2,852 reviews",Travel Sustainable Level 1,MYR 415
Royale City Hotel,Sepang,https://www.booking.com/hotel/my/royale-city-sepang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=272&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=907086904_361778582_2_0_0&highlighted_blocks=907086904_361778582_2_0_0&matching_block_id=907086904_361778582_2_0_0&sr_pri_blocks=907086904_361778582_2_0_0__8700&from=searchresults#hotelTmpl,,7.2,Good ,908 reviews,,MYR 87
WP Hotel,"Chow Kit, Kuala Lumpur",https://www.booking.com/hotel/my/wp-hotel.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=273&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=149937701_304580209_2_2_0&highlighted_blocks=149937701_304580209_2_2_0&matching_block_id=149937701_304580209_2_2_0&sr_pri_blocks=149937701_304580209_2_2_0__14000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.2,Good ,"2,404 reviews",Travel Sustainable Level 1,MYR 140
"Hotel Stripes Kuala Lumpur, Autograph Collection","Chow Kit, Kuala Lumpur",https://www.booking.com/hotel/my/stripes-kuala-lumpur-autograph-collection.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=274&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=212337208_96288668_2_2_0&highlighted_blocks=212337208_96288668_2_2_0&matching_block_id=212337208_96288668_2_2_0&sr_pri_blocks=212337208_96288668_2_2_0__49500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.6,Fabulous ,"1,671 reviews",Travel Sustainable Level 2,MYR 495
Star Residence KLCC By FZB,"Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/grand-suite-at-star-klcc.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=275&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574773&all_sr_blocks=875116801_356436555_0_0_0&highlighted_blocks=875116801_356436555_0_0_0&matching_block_id=875116801_356436555_0_0_0&sr_pri_blocks=875116801_356436555_0_0_0__63686&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.7,Fabulous ,923 reviews,Travel Sustainable Level 3,MYR 637
HOTEL SHAFURA 1,Cukai,https://www.booking.com/hotel/my/shafura-1.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=276&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=370376410_246920776_0_0_0&highlighted_blocks=370376410_246920776_0_0_0&matching_block_id=370376410_246920776_0_0_0&sr_pri_blocks=370376410_246920776_0_0_0__11500&from=searchresults#hotelTmpl,,7.6,Good ,630 reviews,,MYR 115
Somerset Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/somerset-ampang-kuala-lumpur.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=277&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=25752205_298689805_0_2_0&highlighted_blocks=25752205_298689805_0_2_0&matching_block_id=25752205_298689805_0_2_0&sr_pri_blocks=25752205_298689805_0_2_0__36000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.4,Very good ,"2,011 reviews",Travel Sustainable Level 3,MYR 360
7Stonez Suites Midhills Genting Highlands,Genting Highlands,https://www.booking.com/hotel/my/7stonez-suites-midhills-genting.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=278&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=438103101_131217740_2_0_0&highlighted_blocks=438103101_131217740_2_0_0&matching_block_id=438103101_131217740_2_0_0&sr_pri_blocks=438103101_131217740_2_0_0__29311&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.2,Good ,"1,520 reviews",Travel Sustainable Level 1,MYR 293
Bintang Square Hotel,Kubang Kerian,https://www.booking.com/hotel/my/bintang-square-kubang-kerian.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=279&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=271790132_326748462_0_0_0&highlighted_blocks=271790132_326748462_0_0_0&matching_block_id=271790132_326748462_0_0_0&sr_pri_blocks=271790132_326748462_0_0_0__10100&from=searchresults#hotelTmpl,,7.9,Good ,314 reviews,,MYR 101
"Holiday Inn Express Kota Kinabalu City Centre, an IHG Hotel",Kota Kinabalu,https://www.booking.com/hotel/my/holiday-inn-express-kota-kinabalu-city-centre.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=280&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=615208001_240599799_2_1_0&highlighted_blocks=615208001_240599799_2_1_0&matching_block_id=615208001_240599799_2_1_0&sr_pri_blocks=615208001_240599799_2_1_0__24300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.7,Fabulous ,"1,858 reviews",Travel Sustainable Level 3,MYR 243
Sepilok Forest Edge Resort,Sepilok,https://www.booking.com/hotel/my/sepilok-forest-edge-resort.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=281&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=35746408_88829292_0_42_0&highlighted_blocks=35746408_88829292_0_42_0&matching_block_id=35746408_88829292_0_42_0&sr_pri_blocks=35746408_88829292_0_42_0__45000&from=searchresults#hotelTmpl,,8.8,Fabulous ,278 reviews,,MYR 450
"Sunway Lagoon Hotel , formerly Sunway Clio Hotel",Kuala Lumpur,https://www.booking.com/hotel/my/sunway-lagoon-hotel.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=282&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=172839301_265077033_0_2_0&highlighted_blocks=172839301_265077033_0_2_0&matching_block_id=172839301_265077033_0_2_0&sr_pri_blocks=172839301_265077033_0_2_0__55474&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.4,Very good ,777 reviews,Travel Sustainable Level 1,MYR 555
Aleesa Roomstay,Pasir Puteh,https://www.booking.com/hotel/my/aleesa-roomstay-3.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=283&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574790&all_sr_blocks=463314901_351505759_0_0_0&highlighted_blocks=463314901_351505759_0_0_0&matching_block_id=463314901_351505759_0_0_0&sr_pri_blocks=463314901_351505759_0_0_0__9900&from=searchresults#hotelTmpl,,8.6,Fabulous ,184 reviews,,MYR 99
