Title,Location,Link,Distance,Review_Score,Review_description,Number_Of_Reviews,Details,Price
Praicon Executive Suite,Butterworth,https://www.booking.com/hotel/my/praicon-executive-suite-butterworth.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=998795301_372715967_2_0_0&highlighted_blocks=998795301_372715967_2_0_0&matching_block_id=998795301_372715967_2_0_0&sr_pri_blocks=998795301_372715967_2_0_0__35721&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.4,Very good ,201 reviews,Travel Sustainable Level 3,MYR 357
D Hotel,Seri Iskandar,https://www.booking.com/hotel/my/dhotel.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=77830902_261798860_0_0_0&highlighted_blocks=77830902_261798860_0_0_0&matching_block_id=77830902_261798860_0_0_0&sr_pri_blocks=77830902_261798860_0_0_0__16900&from=searchresults#hotelTmpl,,7.4,Good ,"1,049 reviews",,MYR 169
The Bayview Beach Resort,"Batu Ferringhi Beach, Batu Ferringhi",https://www.booking.com/hotel/my/bayviewbeach.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=2555117_105275875_2_2_0&highlighted_blocks=2555117_105275875_2_2_0&matching_block_id=2555117_105275875_2_2_0&sr_pri_blocks=2555117_105275875_2_2_0__45000&from=searchresults#hotelTmpl,,7.9,Good ,"8,188 reviews",,MYR 450
Super OYO 1236 Hotel Green Park,Temerloh,https://www.booking.com/hotel/my/oyo-1236-green-park.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=528186001_209281315_2_0_0&highlighted_blocks=528186001_209281315_2_0_0&matching_block_id=528186001_209281315_2_0_0&sr_pri_blocks=528186001_209281315_2_0_0__11985&from=searchresults#hotelTmpl,,8,Very good ,"1,612 reviews",,MYR 120
1 Day Car Hotel - BG Perdana,Batu Gajah,https://www.booking.com/hotel/my/1day-car-batu-gajah.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=998992403_374083330_2_0_0&highlighted_blocks=998992403_374083330_2_0_0&matching_block_id=998992403_374083330_2_0_0&sr_pri_blocks=998992403_374083330_2_0_0__9000&from=searchresults#hotelTmpl,,7.9,Good ,108 reviews,,MYR 90
Cameron Lavender Mansion by PLAY,Brinchang,https://www.booking.com/hotel/my/cameron-lavender-mansion-by-play.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=1062910901_378634707_0_1_0&highlighted_blocks=1062910901_378634707_0_1_0&matching_block_id=1062910901_378634707_0_1_0&sr_pri_blocks=1062910901_378634707_0_1_0__74880&from=searchresults#hotelTmpl,,8.8,Fabulous ,20 reviews,,MYR 749
Hotel Uptown Semenyih,Semenyih,https://www.booking.com/hotel/my/uptown-semenyih.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=947817805_367358136_2_0_0&highlighted_blocks=947817805_367358136_2_0_0&matching_block_id=947817805_367358136_2_0_0&sr_pri_blocks=947817805_367358136_2_0_0__8100&from=searchresults#hotelTmpl,,7.5,Good ,86 reviews,,MYR 81
Ceylonz Suites by MyKey Global,"Bukit Bintang, Kuala Lumpur",https://www.booking.com/hotel/my/ceylonz-suite-by-mykey-global.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=584477029_365013592_2_2_0&highlighted_blocks=584477029_365013592_2_2_0&matching_block_id=584477029_365013592_2_2_0&sr_pri_blocks=584477029_365013592_2_2_0__40500&from=searchresults#hotelTmpl,,8.2,Very good ,"3,936 reviews",,MYR 405
Mutiara Beach Resort by Glex,Tangga Batu,https://www.booking.com/hotel/my/mutiara-melaka-beach-resort-by-glex.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=982400250_375689288_4_0_0&highlighted_blocks=982400250_375689288_4_0_0&matching_block_id=982400250_375689288_4_0_0&sr_pri_blocks=982400250_375689288_4_0_0__41929&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.5,Very good ,90 reviews,Travel Sustainable Level 1,MYR 419
Puteri Ampang Hotel,Ampang,https://www.booking.com/hotel/my/puteri-ampang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=33793013_208757125_2_0_0&highlighted_blocks=33793013_208757125_2_0_0&matching_block_id=33793013_208757125_2_0_0&sr_pri_blocks=33793013_208757125_2_0_0__7496&from=searchresults#hotelTmpl,,7.2,Good ,"1,201 reviews",,MYR 75
